name,name_nda (previously used),name_nda (correct),label (correct)
mr_y_rsfmri__corr__gpnet__aseg__smh__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_aarh,rsfmri_cor_ngd_smh_scs_aalh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_pllh,rsfmri_cor_ngd_smh_scs_aglh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__cbc__lh_mean,rsfmri_cor_ngd_au_scs_aalh,rsfmri_cor_ngd_smh_scs_crcxlh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_hprh,rsfmri_cor_ngd_smh_scs_cdelh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_crcxrh,rsfmri_cor_ngd_smh_scs_hplh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__pl__lh_mean,rsfmri_cor_ngd_df_scs_ptlh,rsfmri_cor_ngd_smh_scs_pllh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__pt__lh_mean,rsfmri_cor_ngd_copa_scs_vtdclh,rsfmri_cor_ngd_smh_scs_ptlh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__th__lh_mean,rsfmri_cor_ngd_cerc_scs_cdelh,rsfmri_cor_ngd_smh_scs_thplh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__vdc__lh_mean,rsfmri_cor_ngd_none_scs_thprh,rsfmri_cor_ngd_smh_scs_vtdclh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_vtdcrh,rsfmri_cor_ngd_smm_scs_aalh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_bs,rsfmri_cor_ngd_smm_scs_aglh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__cbc__lh_mean,rsfmri_cor_ngd_au_scs_vtdclh,rsfmri_cor_ngd_smm_scs_crcxlh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_agrh,rsfmri_cor_ngd_smm_scs_cdelh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_thprh,rsfmri_cor_ngd_smm_scs_hplh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__pl__lh_mean,rsfmri_cor_ngd_df_scs_pllh,rsfmri_cor_ngd_smm_scs_pllh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__pt__lh_mean,rsfmri_cor_ngd_copa_scs_crcxrh,rsfmri_cor_ngd_smm_scs_ptlh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__th__lh_mean,rsfmri_cor_ngd_cerc_scs_ptlh,rsfmri_cor_ngd_smm_scs_thplh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__vdc__lh_mean,rsfmri_cor_ngd_none_scs_cderh,rsfmri_cor_ngd_smm_scs_vtdclh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__ab__lh_mean,rsfmri_cor_ngd_none_scs_thplh,rsfmri_cor_ngd_vta_scs_aalh,Average correlation between Gordon network: ventral attention & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_aglh,rsfmri_cor_ngd_vta_scs_aglh,Average correlation between Gordon network: ventral attention & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__cbc__lh_mean,rsfmri_cor_ngd_au_scs_thprh,rsfmri_cor_ngd_vta_scs_crcxlh,Average correlation between Gordon network: ventral attention & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_vtdcrh,rsfmri_cor_ngd_vta_scs_cdelh,Average correlation between Gordon network: ventral attention & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_ptrh,rsfmri_cor_ngd_vta_scs_hplh,Average correlation between Gordon network: ventral attention & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__pl__lh_mean,rsfmri_cor_ngd_df_scs_hplh,rsfmri_cor_ngd_vta_scs_pllh,Average correlation between Gordon network: ventral attention & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__pt__lh_mean,rsfmri_cor_ngd_copa_scs_cderh,rsfmri_cor_ngd_vta_scs_ptlh,Average correlation between Gordon network: ventral attention & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__th__lh_mean,rsfmri_cor_ngd_cerc_scs_bs,rsfmri_cor_ngd_vta_scs_thplh,Average correlation between Gordon network: ventral attention & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__vdc__lh_mean,rsfmri_cor_ngd_none_scs_plrh,rsfmri_cor_ngd_vta_scs_vtdclh,Average correlation between Gordon network: ventral attention & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__ab__lh_mean,rsfmri_cor_ngd_none_scs_cdelh,rsfmri_cor_ngd_vs_scs_aalh,Average correlation between Gordon network: visual & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_aalh,rsfmri_cor_ngd_vs_scs_aglh,Average correlation between Gordon network: visual & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cbc__lh_mean,rsfmri_cor_ngd_au_scs_cderh,rsfmri_cor_ngd_vs_scs_crcxlh,Average correlation between Gordon network: visual & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cd__lh_mean,rsfmri_cor_ngd_copa_scs_crcxlh,rsfmri_cor_ngd_vs_scs_cdelh,Average correlation between Gordon network: visual & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_plrh,rsfmri_cor_ngd_vs_scs_hplh,Average correlation between Gordon network: visual & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__pl__lh_mean,rsfmri_cor_ngd_df_scs_aglh,rsfmri_cor_ngd_vs_scs_pllh,Average correlation between Gordon network: visual & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__pt__lh_mean,rsfmri_cor_ngd_copa_scs_ptrh,rsfmri_cor_ngd_vs_scs_ptlh,Average correlation between Gordon network: visual & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__th__lh_mean,rsfmri_cor_ngd_cerc_scs_hplh,rsfmri_cor_ngd_vs_scs_thplh,Average correlation between Gordon network: visual & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__vdc__lh_mean,rsfmri_cor_ngd_none_scs_hprh,rsfmri_cor_ngd_vs_scs_vtdclh,Average correlation between Gordon network: visual & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__ab__rh_mean,rsfmri_cor_ngd_vta_scs_cderh,rsfmri_cor_ngd_au_scs_aarh,Average correlation between Gordon network: auditory & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__ag__rh_mean,rsfmri_cor_ngd_sa_scs_vtdcrh,rsfmri_cor_ngd_au_scs_agrh,Average correlation between Gordon network: auditory & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__cbc__rh_mean,rsfmri_cor_ngd_none_scs_agrh,rsfmri_cor_ngd_au_scs_crcxrh,Average correlation between Gordon network: auditory & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__cd__rh_mean,rsfmri_cor_ngd_smh_scs_pllh,rsfmri_cor_ngd_au_scs_cderh,Average correlation between Gordon network: auditory & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__hc__rh_mean,rsfmri_cor_ngd_sa_scs_bs,rsfmri_cor_ngd_au_scs_hprh,Average correlation between Gordon network: auditory & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__pl__rh_mean,rsfmri_cor_ngd_smm_scs_thprh,rsfmri_cor_ngd_au_scs_plrh,Average correlation between Gordon network: auditory & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__pt__rh_mean,rsfmri_cor_ngd_smh_scs_aarh,rsfmri_cor_ngd_au_scs_ptrh,Average correlation between Gordon network: auditory & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__th__rh_mean,rsfmri_cor_ngd_rst_scs_crcxrh,rsfmri_cor_ngd_au_scs_thprh,Average correlation between Gordon network: auditory & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_hplh,rsfmri_cor_ngd_au_scs_vtdcrh,Average correlation between Gordon network: auditory & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__ab__rh_mean,rsfmri_cor_ngd_vta_scs_ptrh,rsfmri_cor_ngd_cerc_scs_aarh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__ag__rh_mean,rsfmri_cor_ngd_vta_scs_crcxlh,rsfmri_cor_ngd_cerc_scs_agrh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__cbc__rh_mean,rsfmri_cor_ngd_none_scs_aarh,rsfmri_cor_ngd_cerc_scs_crcxrh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__cd__rh_mean,rsfmri_cor_ngd_smh_scs_bs,rsfmri_cor_ngd_cerc_scs_cderh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__hc__rh_mean,rsfmri_cor_ngd_sa_scs_hplh,rsfmri_cor_ngd_cerc_scs_hprh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__pl__rh_mean,rsfmri_cor_ngd_smm_scs_cderh,rsfmri_cor_ngd_cerc_scs_plrh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__pt__rh_mean,rsfmri_cor_ngd_smh_scs_vtdcrh,rsfmri_cor_ngd_cerc_scs_ptrh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__th__rh_mean,rsfmri_cor_ngd_rst_scs_thprh,rsfmri_cor_ngd_cerc_scs_thprh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_aglh,rsfmri_cor_ngd_cerc_scs_vtdcrh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__ab__rh_mean,rsfmri_cor_ngd_vta_scs_plrh,rsfmri_cor_ngd_copa_scs_aarh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__ag__rh_mean,rsfmri_cor_ngd_vta_scs_thplh,rsfmri_cor_ngd_copa_scs_agrh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__cbc__rh_mean,rsfmri_cor_ngd_none_scs_vtdcrh,rsfmri_cor_ngd_copa_scs_crcxrh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__cd__rh_mean,rsfmri_cor_ngd_smh_scs_hplh,rsfmri_cor_ngd_copa_scs_cderh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__hc__rh_mean,rsfmri_cor_ngd_sa_scs_aglh,rsfmri_cor_ngd_copa_scs_hprh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__pl__rh_mean,rsfmri_cor_ngd_smm_scs_ptrh,rsfmri_cor_ngd_copa_scs_plrh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__pt__rh_mean,rsfmri_cor_ngd_smm_scs_crcxlh,rsfmri_cor_ngd_copa_scs_ptrh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__th__rh_mean,rsfmri_cor_ngd_rst_scs_cderh,rsfmri_cor_ngd_copa_scs_thprh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cip__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_aalh,rsfmri_cor_ngd_copa_scs_vtdcrh,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__ab__rh_mean,rsfmri_cor_ngd_vta_scs_hprh,rsfmri_cor_ngd_df_scs_aarh,Average correlation between Gordon network: default & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__ag__rh_mean,rsfmri_cor_ngd_vta_scs_cdelh,rsfmri_cor_ngd_df_scs_agrh,Average correlation between Gordon network: default & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_crcxlh,rsfmri_cor_ngd_df_scs_crcxrh,Average correlation between Gordon network: default & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__cd__rh_mean,rsfmri_cor_ngd_smh_scs_aglh,rsfmri_cor_ngd_df_scs_cderh,Average correlation between Gordon network: default & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__hc__rh_mean,rsfmri_cor_ngd_sa_scs_aalh,rsfmri_cor_ngd_df_scs_hprh,Average correlation between Gordon network: default & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__pl__rh_mean,rsfmri_cor_ngd_smm_scs_plrh,rsfmri_cor_ngd_df_scs_plrh,Average correlation between Gordon network: default & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__pt__rh_mean,rsfmri_cor_ngd_smm_scs_thplh,rsfmri_cor_ngd_df_scs_ptrh,Average correlation between Gordon network: default & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__th__rh_mean,rsfmri_cor_ngd_rst_scs_ptrh,rsfmri_cor_ngd_df_scs_thprh,Average correlation between Gordon network: default & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__def__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_vtdclh,rsfmri_cor_ngd_df_scs_vtdcrh,Average correlation between Gordon network: default & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__ab__rh_mean,rsfmri_cor_ngd_vta_scs_agrh,rsfmri_cor_ngd_dsa_scs_aarh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__ag__rh_mean,rsfmri_cor_ngd_vta_scs_ptlh,rsfmri_cor_ngd_dsa_scs_agrh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_thplh,rsfmri_cor_ngd_dsa_scs_crcxrh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__cd__rh_mean,rsfmri_cor_ngd_smh_scs_aalh,rsfmri_cor_ngd_dsa_scs_cderh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__hc__rh_mean,rsfmri_cor_ngd_sa_scs_vtdclh,rsfmri_cor_ngd_dsa_scs_hprh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__pl__rh_mean,rsfmri_cor_ngd_smm_scs_hprh,rsfmri_cor_ngd_dsa_scs_plrh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__pt__rh_mean,rsfmri_cor_ngd_smm_scs_cdelh,rsfmri_cor_ngd_dsa_scs_ptrh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__th__rh_mean,rsfmri_cor_ngd_rst_scs_plrh,rsfmri_cor_ngd_dsa_scs_thprh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__doa__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_crcxrh,rsfmri_cor_ngd_dsa_scs_vtdcrh,Average correlation between Gordon network: dorsal attention & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__ab__rh_mean,rsfmri_cor_ngd_vta_scs_aarh,rsfmri_cor_ngd_fopa_scs_aarh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: accumbens area (right hemisphere)
