name,name_nda (previously used),name_nda (correct),label (correct)
mr_y_rsfmri__corr__gpnet__aseg__frp__ag__rh_mean,rsfmri_cor_ngd_vta_scs_pllh,rsfmri_cor_ngd_fopa_scs_agrh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_cdelh,rsfmri_cor_ngd_fopa_scs_crcxrh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__cd__rh_mean,rsfmri_cor_ngd_smh_scs_vtdclh,rsfmri_cor_ngd_fopa_scs_cderh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__hc__rh_mean,rsfmri_cor_ngd_sa_scs_crcxrh,rsfmri_cor_ngd_fopa_scs_hprh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__pl__rh_mean,rsfmri_cor_ngd_smm_scs_agrh,rsfmri_cor_ngd_fopa_scs_plrh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__pt__rh_mean,rsfmri_cor_ngd_smm_scs_ptlh,rsfmri_cor_ngd_fopa_scs_ptrh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__th__rh_mean,rsfmri_cor_ngd_rst_scs_hprh,rsfmri_cor_ngd_fopa_scs_thprh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__frp__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_thprh,rsfmri_cor_ngd_fopa_scs_vtdcrh,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__ab__rh_mean,rsfmri_cor_ngd_vta_scs_vtdcrh,rsfmri_cor_ngd_none_scs_aarh,Average correlation between Gordon network: none & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__ag__rh_mean,rsfmri_cor_ngd_vta_scs_bs,rsfmri_cor_ngd_none_scs_agrh,Average correlation between Gordon network: none & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_ptlh,rsfmri_cor_ngd_none_scs_crcxrh,Average correlation between Gordon network: none & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__cd__rh_mean,rsfmri_cor_ngd_smh_scs_crcxrh,rsfmri_cor_ngd_none_scs_cderh,Average correlation between Gordon network: none & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__hc__rh_mean,rsfmri_cor_ngd_sa_scs_thprh,rsfmri_cor_ngd_none_scs_hprh,Average correlation between Gordon network: none & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__pl__rh_mean,rsfmri_cor_ngd_smm_scs_aarh,rsfmri_cor_ngd_none_scs_plrh,Average correlation between Gordon network: none & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__pt__rh_mean,rsfmri_cor_ngd_smm_scs_pllh,rsfmri_cor_ngd_none_scs_ptrh,Average correlation between Gordon network: none & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__th__rh_mean,rsfmri_cor_ngd_rst_scs_agrh,rsfmri_cor_ngd_none_scs_thprh,Average correlation between Gordon network: none & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__non__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_cderh,rsfmri_cor_ngd_none_scs_vtdcrh,Average correlation between Gordon network: none & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__ab__rh_mean,rsfmri_cor_ngd_vs_scs_crcxlh,rsfmri_cor_ngd_rst_scs_aarh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__ag__rh_mean,rsfmri_cor_ngd_vta_scs_hplh,rsfmri_cor_ngd_rst_scs_agrh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_pllh,rsfmri_cor_ngd_rst_scs_crcxrh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__cd__rh_mean,rsfmri_cor_ngd_smh_scs_thprh,rsfmri_cor_ngd_rst_scs_cderh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__hc__rh_mean,rsfmri_cor_ngd_sa_scs_cderh,rsfmri_cor_ngd_rst_scs_hprh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__pl__rh_mean,rsfmri_cor_ngd_smm_scs_vtdcrh,rsfmri_cor_ngd_rst_scs_plrh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__pt__rh_mean,rsfmri_cor_ngd_smm_scs_bs,rsfmri_cor_ngd_rst_scs_ptrh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__th__rh_mean,rsfmri_cor_ngd_rst_scs_aarh,rsfmri_cor_ngd_rst_scs_thprh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_ptrh,rsfmri_cor_ngd_rst_scs_vtdcrh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__ab__rh_mean,rsfmri_cor_ngd_vs_scs_ptlh,rsfmri_cor_ngd_sa_scs_aarh,Average correlation between Gordon network: salience & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__ag__rh_mean,rsfmri_cor_ngd_vta_scs_vtdclh,rsfmri_cor_ngd_sa_scs_agrh,Average correlation between Gordon network: salience & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_aglh,rsfmri_cor_ngd_sa_scs_crcxrh,Average correlation between Gordon network: salience & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__cd__rh_mean,rsfmri_cor_ngd_smh_scs_plrh,rsfmri_cor_ngd_sa_scs_cderh,Average correlation between Gordon network: salience & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__hc__rh_mean,rsfmri_cor_ngd_sa_scs_hprh,rsfmri_cor_ngd_sa_scs_hprh,Average correlation between Gordon network: salience & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__pl__rh_mean,rsfmri_cor_ngd_sa_scs_cdelh,rsfmri_cor_ngd_sa_scs_plrh,Average correlation between Gordon network: salience & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__pt__rh_mean,rsfmri_cor_ngd_smm_scs_aalh,rsfmri_cor_ngd_sa_scs_ptrh,Average correlation between Gordon network: salience & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__th__rh_mean,rsfmri_cor_ngd_smh_scs_thplh,rsfmri_cor_ngd_sa_scs_thprh,Average correlation between Gordon network: salience & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_agrh,rsfmri_cor_ngd_sa_scs_vtdcrh,Average correlation between Gordon network: salience & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__ab__rh_mean,rsfmri_cor_ngd_vs_scs_thplh,rsfmri_cor_ngd_smh_scs_aarh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__ag__rh_mean,rsfmri_cor_ngd_vta_scs_aglh,rsfmri_cor_ngd_smh_scs_agrh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_bs,rsfmri_cor_ngd_smh_scs_crcxrh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__cd__rh_mean,rsfmri_cor_ngd_smh_scs_cderh,rsfmri_cor_ngd_smh_scs_cderh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__hc__rh_mean,rsfmri_cor_ngd_sa_scs_ptrh,rsfmri_cor_ngd_smh_scs_hprh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__pl__rh_mean,rsfmri_cor_ngd_sa_scs_crcxlh,rsfmri_cor_ngd_smh_scs_plrh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__pt__rh_mean,rsfmri_cor_ngd_smm_scs_hplh,rsfmri_cor_ngd_smh_scs_ptrh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__th__rh_mean,rsfmri_cor_ngd_rst_scs_vtdcrh,rsfmri_cor_ngd_smh_scs_thprh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_plrh,rsfmri_cor_ngd_smh_scs_vtdcrh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__ab__rh_mean,rsfmri_cor_ngd_vs_scs_cdelh,rsfmri_cor_ngd_smm_scs_aarh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__ag__rh_mean,rsfmri_cor_ngd_vta_scs_aalh,rsfmri_cor_ngd_smm_scs_agrh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_hplh,rsfmri_cor_ngd_smm_scs_crcxrh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__cd__rh_mean,rsfmri_cor_ngd_smh_scs_ptrh,rsfmri_cor_ngd_smm_scs_cderh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__hc__rh_mean,rsfmri_cor_ngd_sa_scs_plrh,rsfmri_cor_ngd_smm_scs_hprh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__pl__rh_mean,rsfmri_cor_ngd_sa_scs_thplh,rsfmri_cor_ngd_smm_scs_plrh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__pt__rh_mean,rsfmri_cor_ngd_smm_scs_aglh,rsfmri_cor_ngd_smm_scs_ptrh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__th__rh_mean,rsfmri_cor_ngd_smh_scs_crcxlh,rsfmri_cor_ngd_smm_scs_thprh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_hprh,rsfmri_cor_ngd_smm_scs_vtdcrh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__ab__rh_mean,rsfmri_cor_ngd_vs_scs_pllh,rsfmri_cor_ngd_vta_scs_aarh,Average correlation between Gordon network: ventral attention & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__ag__rh_mean,rsfmri_cor_ngd_vta_scs_crcxrh,rsfmri_cor_ngd_vta_scs_agrh,Average correlation between Gordon network: ventral attention & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_aalh,rsfmri_cor_ngd_vta_scs_crcxrh,Average correlation between Gordon network: ventral attention & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__cd__rh_mean,rsfmri_cor_ngd_smh_scs_hprh,rsfmri_cor_ngd_vta_scs_cderh,Average correlation between Gordon network: ventral attention & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__hc__rh_mean,rsfmri_cor_ngd_sa_scs_agrh,rsfmri_cor_ngd_vta_scs_hprh,Average correlation between Gordon network: ventral attention & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__pl__rh_mean,rsfmri_cor_ngd_sa_scs_ptlh,rsfmri_cor_ngd_vta_scs_plrh,Average correlation between Gordon network: ventral attention & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__pt__rh_mean,rsfmri_cor_ngd_smm_scs_vtdclh,rsfmri_cor_ngd_vta_scs_ptrh,Average correlation between Gordon network: ventral attention & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__th__rh_mean,rsfmri_cor_ngd_smh_scs_cdelh,rsfmri_cor_ngd_vta_scs_thprh,Average correlation between Gordon network: ventral attention & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_aarh,rsfmri_cor_ngd_vta_scs_vtdcrh,Average correlation between Gordon network: ventral attention & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__ab__rh_mean,rsfmri_cor_ngd_vs_scs_bs,rsfmri_cor_ngd_vs_scs_aarh,Average correlation between Gordon network: visual & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__ag__rh_mean,rsfmri_cor_ngd_vta_scs_thprh,rsfmri_cor_ngd_vs_scs_agrh,Average correlation between Gordon network: visual & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_vtdclh,rsfmri_cor_ngd_vs_scs_crcxrh,Average correlation between Gordon network: visual & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cd__rh_mean,rsfmri_cor_ngd_smh_scs_agrh,rsfmri_cor_ngd_vs_scs_cderh,Average correlation between Gordon network: visual & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__hc__rh_mean,rsfmri_cor_ngd_sa_scs_aarh,rsfmri_cor_ngd_vs_scs_hprh,Average correlation between Gordon network: visual & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__pl__rh_mean,rsfmri_cor_ngd_sa_scs_pllh,rsfmri_cor_ngd_vs_scs_plrh,Average correlation between Gordon network: visual & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__pt__rh_mean,rsfmri_cor_ngd_smm_scs_crcxrh,rsfmri_cor_ngd_vs_scs_ptrh,Average correlation between Gordon network: visual & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__th__rh_mean,rsfmri_cor_ngd_smh_scs_ptlh,rsfmri_cor_ngd_vs_scs_thprh,Average correlation between Gordon network: visual & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_vtdcrh,rsfmri_cor_ngd_vs_scs_vtdcrh,Average correlation between Gordon network: visual & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__bs_mean,rsfmri_cor_ngd_df_scs_aalh,rsfmri_cor_ngd_au_scs_bs,Average correlation between Gordon network: auditory & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__cio__bs_mean,rsfmri_cor_ngd_df_scs_vtdclh,rsfmri_cor_ngd_cerc_scs_bs,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__cip__bs_mean,rsfmri_cor_ngd_df_scs_crcxrh,rsfmri_cor_ngd_copa_scs_bs,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__def__bs_mean,rsfmri_cor_ngd_df_scs_thprh,rsfmri_cor_ngd_df_scs_bs,Average correlation between Gordon network: default & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__doa__bs_mean,rsfmri_cor_ngd_df_scs_cderh,rsfmri_cor_ngd_dsa_scs_bs,Average correlation between Gordon network: dorsal attention & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__frp__bs_mean,rsfmri_cor_ngd_df_scs_ptrh,rsfmri_cor_ngd_fopa_scs_bs,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__non__bs_mean,rsfmri_cor_ngd_df_scs_plrh,rsfmri_cor_ngd_none_scs_bs,Average correlation between Gordon network: none & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__ret__bs_mean,rsfmri_cor_ngd_df_scs_hprh,rsfmri_cor_ngd_rst_scs_bs,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__sal__bs_mean,rsfmri_cor_ngd_df_scs_vtdcrh,rsfmri_cor_ngd_sa_scs_bs,Average correlation between Gordon network: salience & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__smh__bs_mean,rsfmri_cor_ngd_df_scs_agrh,rsfmri_cor_ngd_smh_scs_bs,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__smm__bs_mean,rsfmri_cor_ngd_df_scs_aarh,rsfmri_cor_ngd_smm_scs_bs,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__vea__bs_mean,rsfmri_cor_ngd_dsa_scs_crcxlh,rsfmri_cor_ngd_vta_scs_bs,Average correlation between Gordon network: ventral attention & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__vis__bs_mean,rsfmri_cor_ngd_dsa_scs_thplh,rsfmri_cor_ngd_vs_scs_bs,Average correlation between Gordon network: visual & Subcortical ROI: brain stem
